time,snsr_11,snsr_12,snsr_13,snsr_14,snsr_21,snsr_22,snsr_23,snsr_24,snsr_31,snsr_32,snsr_33,snsr_34,snsr_41,snsr_42,snsr_43,snsr_44,interupt
95775,-0.46,-0.80,-2.07,-1.38,-0.46,1.72,1.49,-0.11,2.30,2.53,2.53,-0.46,0.00,1.49,5.29,1.95,0
95892,-0.80,-0.92,-2.18,-1.38,-0.57,1.84,0.80,-0.57,1.84,1.95,2.07,0.23,0.11,0.57,4.60,0.92,0
96009,-0.57,-0.57,-1.84,-0.69,-1.15,1.15,2.53,-0.34,1.95,2.07,2.76,-0.23,0.69,1.15,4.14,2.07,0
96125,-0.46,-1.03,-2.41,-1.61,-0.69,1.61,1.26,-0.57,2.07,2.30,2.76,-1.26,0.34,0.80,4.83,1.15,0
96242,-0.80,-0.23,-1.61,-1.72,-1.61,2.18,0.80,0.00,1.84,1.95,2.64,0.00,0.23,1.03,3.91,1.26,0
96359,-0.57,-0.69,-1.72,-1.38,-0.23,1.49,1.49,0.34,2.07,2.53,3.10,0.23,0.00,0.80,4.48,1.95,0
96476,-0.69,-1.03,-1.95,-0.80,-1.03,1.61,1.15,0.00,1.38,2.53,2.99,-0.11,0.57,0.80,4.25,1.38,0
96593,-0.57,-1.26,-1.95,-1.72,-0.80,1.49,1.61,-0.11,1.95,2.07,2.18,-0.11,0.11,1.03,3.56,1.49,0
96710,-0.92,-0.34,-1.61,-1.49,-0.69,1.72,1.15,-0.11,1.95,2.30,2.30,0.00,0.23,1.15,4.71,1.84,0
96826,-0.69,-0.69,-2.18,-1.61,-1.03,1.95,1.38,-0.11,1.95,2.07,2.18,0.11,0.34,1.03,4.37,1.38,0
96943,-0.80,-0.92,-1.95,-1.26,-0.92,1.61,1.26,0.34,1.95,2.07,2.18,-0.23,0.34,1.03,3.79,1.03,0
97060,-0.46,-0.92,-1.72,-1.61,-0.69,1.72,1.49,0.11,1.72,1.72,2.30,0.00,0.23,0.69,4.94,1.38,0
97177,-0.57,-0.57,-1.84,-1.49,-0.34,1.61,1.03,0.11,2.07,2.18,2.18,0.46,0.00,0.80,4.37,1.15,0
97294,-0.34,-1.26,-2.07,-1.38,-0.57,1.61,1.84,-0.11,1.95,2.30,2.41,-0.34,0.23,0.80,3.91,1.72,0
97411,-0.11,-0.46,-1.49,-1.72,-1.26,1.61,1.49,-0.69,1.84,2.18,2.30,0.00,0.57,1.26,4.48,1.26,0
97527,-0.69,-0.57,-1.95,-1.26,-0.92,1.61,1.38,-0.11,2.30,2.18,2.41,-0.11,0.23,1.15,4.25,1.84,0
97644,-0.46,-1.03,-1.95,-1.49,-1.03,1.38,1.26,-0.11,2.18,2.41,2.41,0.00,-0.23,1.15,4.71,1.72,0
97761,-0.46,-0.69,-2.18,-1.61,-1.03,1.84,1.49,-0.46,2.18,1.95,2.30,-0.34,-0.11,1.03,4.14,1.61,0
97878,-0.92,-0.69,-1.72,-1.38,-0.80,1.72,1.26,-0.23,2.07,1.84,2.18,-0.11,-0.46,1.15,4.25,1.38,0
97995,-0.34,-0.69,-1.72,-1.61,-1.15,1.15,1.49,-0.34,1.95,2.18,2.87,-0.11,0.34,0.80,4.25,1.95,0
98111,-0.34,-0.80,-1.95,-1.61,-0.92,1.49,1.26,-0.46,1.61,2.53,2.41,0.00,0.11,0.92,4.48,1.38,0
98228,-0.69,-0.80,-2.07,-1.49,-0.92,1.49,1.84,-0.11,1.84,2.30,2.18,-0.11,0.46,1.03,4.14,1.38,0
98345,-0.57,-0.80,-2.18,-1.49,-0.80,1.72,1.26,0.00,1.84,2.53,2.30,-0.23,0.11,0.92,4.48,1.49,0
98462,-0.57,-0.46,-1.84,-1.49,-1.15,1.84,1.38,0.00,1.72,2.30,2.30,-0.23,0.57,1.03,4.37,1.38,0
98579,-0.69,-0.92,-1.61,-1.03,-0.92,1.38,1.49,-0.11,1.84,2.30,2.18,0.23,-0.34,0.92,4.14,1.26,0
98696,-0.46,-0.92,-1.84,-1.26,-0.80,1.95,1.26,0.11,1.95,2.18,2.30,-0.34,0.23,1.03,4.48,1.15,0
98812,-0.46,-0.46,-1.72,-1.61,-0.80,2.07,1.26,0.00,1.72,2.18,2.18,-0.11,0.57,1.03,4.48,2.07,0
98929,-0.69,-1.03,-1.38,-1.61,-0.80,1.84,1.38,-0.11,2.18,1.95,2.41,-0.11,0.00,1.26,4.14,1.38,0
99046,-0.34,-0.69,-2.18,-1.03,-0.80,1.61,1.26,0.00,1.95,2.30,1.95,0.00,-0.11,1.15,4.14,1.26,0
99163,-0.46,-1.03,-1.72,-1.38,-1.03,1.72,1.26,0.00,2.07,2.41,2.18,0.23,0.11,1.26,4.25,1.49,0
99280,-0.46,-0.69,-1.72,-1.72,-0.92,1.38,1.38,-0.34,2.30,2.07,2.53,0.11,-0.23,0.46,4.37,1.61,0
99397,-0.34,-0.69,-2.07,-1.72,-0.69,1.61,1.26,0.23,1.84,2.53,2.30,-0.23,0.11,0.46,4.71,1.26,0
99513,-0.80,-0.46,-1.61,-1.38,-0.57,1.61,1.15,-0.11,1.95,2.41,1.95,-0.11,0.23,1.38,4.25,1.61,0
99630,-0.57,-0.92,-1.95,-1.84,-1.03,1.72,1.26,-0.46,1.84,2.18,2.41,-0.23,-0.11,1.15,4.25,1.61,0
99747,-0.34,-0.69,-1.84,-1.72,-0.92,1.72,1.38,-0.23,2.30,2.41,2.53,-0.34,0.34,1.26,4.37,1.26,0
99864,-1.03,-0.80,-1.95,-1.03,-1.03,1.72,1.72,-0.23,2.07,2.64,2.18,0.00,0.46,0.92,4.48,1.72,0
99981,-0.69,-0.46,-1.84,-1.26,-0.80,1.61,0.80,-0.23,1.72,1.95,2.30,0.23,0.57,1.15,4.14,1.61,0
100098,-0.34,-1.03,-1.84,-1.61,-0.69,1.61,1.03,-0.23,2.18,2.07,2.30,-0.11,0.11,0.69,4.48,1.26,0
100214,-0.69,-0.80,-1.84,-1.49,-0.69,1.95,1.72,0.23,1.84,2.41,2.53,-0.46,0.00,0.80,4.37,1.26,0
100331,-0.92,-0.92,-1.84,-1.61,-0.57,1.61,1.49,0.00,1.84,2.07,2.41,-0.11,0.11,1.03,4.25,1.49,0
100448,-0.46,-0.80,-1.95,-1.61,-0.80,1.84,1.15,-0.11,1.95,2.41,2.64,-0.23,0.23,0.92,4.37,1.61,0
100565,-0.34,-0.46,-1.95,-1.26,-0.69,1.38,1.38,-0.23,1.95,2.41,1.95,-0.11,0.46,0.92,4.37,1.03,0
100682,-0.34,-0.80,-1.95,-1.38,-0.92,1.61,1.26,-0.11,2.07,2.18,2.41,-0.23,0.11,1.03,4.37,1.38,0
100798,-0.92,-0.34,-1.84,-1.38,-0.80,1.61,1.03,-0.23,1.95,2.41,2.18,-0.11,-0.11,1.03,4.37,1.49,0
100915,-0.46,-0.46,-1.95,-1.72,-0.57,1.26,1.15,0.11,1.84,2.53,2.64,-0.11,0.23,0.69,4.48,1.49,0
101032,-0.23,-0.57,-1.72,-1.84,-1.03,1.61,1.26,0.00,2.41,2.30,2.30,-0.11,0.11,1.03,4.60,1.38,0
101149,-0.69,-0.92,-1.84,-1.95,-0.92,1.49,1.38,-0.11,1.95,2.18,2.41,0.46,0.34,1.26,4.37,1.49,0
101266,-0.69,-0.80,-1.61,-1.72,-1.03,1.84,1.49,0.11,1.84,2.18,2.07,0.23,0.69,0.92,4.48,1.26,0
101383,-0.34,-1.03,-1.84,-1.61,-1.38,1.61,1.72,-0.34,1.95,2.30,2.41,0.00,0.11,1.03,4.25,1.03,0
101499,-0.69,-0.69,-2.07,-1.84,-0.57,1.61,1.26,-1.84,2.07,2.18,2.53,-0.23,0.23,1.03,4.37,1.61,0
101616,-0.80,-0.57,-1.49,-1.38,-0.80,1.61,1.15,0.23,1.72,2.30,2.53,-0.23,0.23,1.26,4.25,1.61,0
101733,-0.57,-0.80,-1.84,-1.72,-0.57,1.72,1.03,-0.11,1.38,2.18,2.53,-0.23,0.11,0.57,4.48,1.15,0
101850,-0.46,-0.80,-1.95,-1.26,-0.46,1.95,1.26,0.00,2.07,1.95,2.30,-0.23,-0.34,1.26,4.60,1.15,0
101967,-0.69,-0.80,-1.84,-1.38,-1.26,1.72,1.61,0.11,2.07,2.30,2.07,0.00,0.57,0.69,4.14,1.26,0
102084,-0.57,-0.80,-1.84,-1.49,-0.69,1.72,1.49,0.23,2.41,2.41,2.64,-0.11,0.00,1.03,4.48,1.15,0
102200,-0.46,-0.80,-1.95,-1.49,-0.57,1.72,1.38,-0.34,1.95,2.18,2.53,-0.23,0.11,0.92,4.37,1.61,0
102317,-0.23,-0.69,-1.95,-1.26,-0.57,1.72,1.49,-0.23,1.95,2.18,2.41,-0.11,0.11,1.03,4.37,1.38,0
102434,-0.57,-0.92,-1.84,-1.26,-0.46,1.38,1.26,0.11,2.18,2.64,2.53,-0.11,0.00,0.92,4.71,1.61,0
102551,-0.80,-0.69,-2.07,-1.49,-1.15,1.49,1.49,0.11,0.11,2.18,2.07,-0.11,0.23,0.80,4.37,1.61,0
102668,-0.69,-0.69,-2.07,-1.38,-1.15,1.49,1.49,-0.34,2.07,2.30,2.18,-0.23,0.46,0.69,4.25,1.38,0
102784,-1.03,-0.57,-1.84,-1.38,-1.03,1.61,1.38,0.11,2.30,2.18,2.41,-0.34,0.00,1.26,4.14,1.49,0
102901,-0.46,-0.80,-1.84,-1.49,-0.80,1.95,0.92,0.00,1.95,2.53,2.30,-0.11,0.11,1.38,4.37,1.38,0
103018,-0.80,-0.34,-1.84,-1.61,-1.15,1.72,1.15,0.11,1.95,2.07,2.30,-0.11,0.34,0.69,4.37,1.49,0
103135,-0.80,-0.34,-1.84,-1.84,-1.15,1.49,1.03,-0.69,2.18,2.30,1.95,-0.23,0.11,0.69,4.37,1.72,0
103252,-0.80,-0.80,-1.84,-1.72,-0.80,1.49,1.38,0.00,1.84,1.95,2.18,0.00,0.00,0.80,4.60,1.38,0
103369,-0.57,-0.69,-1.72,-1.49,-0.46,1.84,1.26,-0.11,1.84,1.95,2.30,-0.11,0.00,0.34,4.37,1.61,0
103485,-0.34,-0.92,-1.72,-1.38,-0.69,1.61,1.03,-0.11,1.38,1.84,2.30,-0.11,0.46,1.03,4.37,1.61,0
103602,-0.46,-0.92,-1.72,-1.38,-1.03,1.84,1.38,-0.34,1.84,2.07,2.76,0.00,-1.72,1.15,4.37,1.61,0
103719,-0.57,-0.80,-1.95,-1.38,-1.03,1.95,0.92,-0.34,1.84,2.30,2.18,-0.23,0.00,1.03,4.25,1.38,0
103836,-0.92,-0.80,-1.84,-1.61,-0.80,1.61,1.38,0.00,2.07,2.18,2.18,-0.11,0.57,1.03,4.14,1.49,0
103953,-0.57,-0.80,-2.07,-1.15,-0.92,1.72,1.38,-0.11,2.07,2.41,2.64,0.00,0.34,1.03,4.25,1.84,0
104070,-0.69,-0.69,-1.84,-1.84,-0.69,1.49,1.38,0.11,2.18,2.07,2.30,0.00,0.11,0.46,4.14,1.38,0
104186,-0.57,-0.57,-1.84,-1.38,-0.80,1.72,1.26,-0.23,2.30,2.41,2.41,-1.84,0.00,0.57,4.37,1.38,0
104303,-0.34,-0.80,-2.07,-1.38,-0.57,2.07,1.38,0.00,2.07,2.30,2.41,-0.23,0.34,0.80,4.37,1.38,0
104420,-0.92,-0.57,-1.72,-1.72,-0.92,1.72,1.38,0.23,2.07,2.18,2.41,-0.23,0.11,0.92,4.02,1.49,0
104537,-0.80,-0.69,-1.72,-1.49,-0.69,1.61,1.49,0.11,1.61,2.07,2.18,-0.23,-0.23,0.92,4.14,1.49,0
104654,-0.46,-1.03,-1.95,-1.84,-0.92,1.49,1.15,0.34,1.72,2.30,2.53,-0.46,0.00,1.15,4.37,1.49,0
104771,-0.69,-0.92,-1.72,-1.84,-0.92,1.38,1.15,0.00,1.95,2.41,2.53,0.11,0.00,1.26,4.48,1.72,0
104887,-0.92,-1.03,-1.72,-1.72,-0.92,1.84,1.61,0.11,2.18,2.30,2.64,-0.34,0.34,0.80,4.60,1.61,0
105004,-0.46,-0.92,-1.95,-1.38,-1.15,1.72,1.72,0.23,2.07,2.76,2.64,-0.34,0.00,1.03,4.02,1.61,0
