day,time,snsr_11,snsr_12,snsr_21,snsr_22
0,00:01:30.81,1.95,0.69,0.8,-0.23
0,00:01:30.83,1.95,0.8,0.92,0
0,00:01:30.85,1.72,0.34,0.8,-0.34
0,00:01:30.87,1.95,0.8,1.03,0
0,00:01:30.89,2.07,0.8,0.57,-0.23
0,00:01:30.91,1.61,0.46,1.26,0
0,00:01:30.93,1.84,0.69,1.03,-0.11
0,00:01:30.95,1.72,0.8,0.8,-0.11
0,00:01:30.98,2.07,0.57,0.8,0.11
0,00:01:31.00,1.61,0.57,1.15,0.11
0,00:01:31.02,2.18,0.57,0.69,-0.11
0,00:01:31.04,1.49,0.8,0.46,-0.23
0,00:01:31.06,1.49,1.03,0.46,0
0,00:01:31.08,1.95,0.8,0.8,-1.84
0,00:01:31.10,1.61,0.92,0.8,-0.11
0,00:01:31.12,1.84,1.03,0.46,-0.23
0,00:01:31.15,1.84,0.92,0.8,-0.11
0,00:01:31.17,1.61,0.8,0.69,-0.34
0,00:01:31.19,1.95,0.8,0.92,-0.23
0,00:01:31.21,1.49,0.69,0.8,-0.11
0,00:01:31.23,1.95,0.8,0.8,-0.11
0,00:01:31.25,1.49,0.69,0.57,-0.11
0,00:01:31.27,1.61,0.8,1.03,0
0,00:01:31.29,1.72,0.34,0.8,-0.34
0,00:01:31.31,1.84,0.8,0.92,-0.11
0,00:01:31.33,1.84,0.8,1.03,-0.23
0,00:01:31.35,1.49,0.69,1.26,-0.34
0,00:01:31.38,2.07,0.69,0.8,0
0,00:01:31.40,1.61,0.46,1.03,-0.11
0,00:01:31.42,1.49,0.46,0.8,-0.11
0,00:01:31.44,1.84,0.8,1.15,0
0,00:01:31.46,1.95,0.23,0.92,0
0,00:01:31.48,1.72,0.57,0.8,-0.23
0,00:01:31.50,1.84,0.57,0.69,-0.11
0,00:01:31.52,1.72,0.8,1.15,-0.46
0,00:01:31.54,1.84,0.46,1.03,-0.46
0,00:01:31.57,1.95,0.57,0.8,-0.23
0,00:01:31.59,1.72,0.69,0.92,-0.11
0,00:01:31.61,1.84,0.69,1.26,-1.84
0,00:01:31.63,1.84,0.8,0.8,-0.11
0,00:01:31.65,1.49,0.69,0.8,-0.23
0,00:01:31.67,1.72,0.69,0.8,-0.23
0,00:01:31.69,1.72,0.69,0.57,-0.11
0,00:01:31.71,1.72,0.8,1.26,-0.23
0,00:01:31.73,1.95,0.8,0.8,-0.11
0,00:01:31.75,1.84,0.46,1.03,0.11
0,00:01:31.78,1.61,0.46,1.03,-0.34
0,00:01:31.80,1.95,0.57,1.03,0
0,00:01:31.82,1.49,0.57,0.8,-0.46
0,00:01:31.84,1.84,0.69,0.8,0
0,00:01:31.86,1.84,0.8,0.8,0
0,00:01:31.88,1.72,0.57,1.03,-0.46
0,00:01:31.90,1.72,0.92,0.8,-0.23
0,00:01:31.92,1.72,0.69,0.92,-0.11
0,00:01:31.94,1.84,0.46,0.57,-0.46
0,00:01:31.97,1.61,0.8,0.57,0.11
0,00:01:31.99,1.72,0.92,0.57,0
0,00:01:32.01,1.84,1.03,0.46,-0.34
0,00:01:32.03,1.84,0.69,1.15,0
0,00:01:32.05,1.84,0.57,0.69,0
0,00:01:32.07,1.95,0.69,0.8,0.11
0,00:01:32.09,1.95,0.69,0.8,-0.11
0,00:01:32.11,2.07,0.57,1.03,-0.23
0,00:01:32.13,1.61,0.69,0.92,0
0,00:01:32.15,2.07,0.69,0.69,-0.46
0,00:01:32.18,1.72,0.8,0.92,-0.23
0,00:01:32.20,1.61,0.57,1.26,-1.84
0,00:01:32.22,1.95,0.8,0.46,0.11
0,00:01:32.24,1.61,0.46,1.03,-0.23
0,00:01:32.26,1.95,0.8,1.15,-0.11
0,00:01:32.28,1.84,0.92,1.38,-0.11
0,00:01:32.30,1.61,0.46,0.92,-0.34
0,00:01:32.32,1.72,1.15,1.03,-0.23
0,00:01:32.34,1.72,0.69,1.03,0.23
0,00:01:32.37,2.07,0.8,1.03,-0.23
0,00:01:32.39,1.95,0.57,0.92,0
0,00:01:32.41,1.72,1.03,1.03,-0.46
0,00:01:32.43,1.61,0.8,0.92,-0.11
0,00:01:32.45,1.95,0.8,0.8,-0.46
0,00:01:32.47,1.61,0.57,0.69,-0.34
0,00:01:32.49,1.95,0.69,0.8,-0.23
0,00:01:32.51,1.95,0.92,0.69,0
0,00:01:32.53,1.61,1.03,1.26,0.23
0,00:01:32.56,1.61,0.92,1.03,-0.11
0,00:01:32.58,1.84,1.03,0.8,-0.23
0,00:01:32.60,1.61,0.8,1.03,-0.34
0,00:01:32.62,1.95,0.8,1.15,0.23
0,00:01:32.64,1.84,0.69,0.8,-0.11
0,00:01:32.66,1.84,0.8,1.15,-0.11
0,00:01:32.68,1.84,0.69,0.92,-0.34
0,00:01:32.70,1.72,0.8,1.03,-0.11
0,00:01:32.72,1.84,0.92,1.03,1.72
0,00:01:32.74,1.84,0.8,1.26,0
0,00:01:32.76,1.72,0.8,1.03,0
0,00:01:32.79,1.72,0.57,0.69,-0.34
0,00:01:32.81,1.84,1.03,1.26,-0.34
0,00:01:32.83,1.95,0.92,0.8,-0.11
0,00:01:32.85,1.61,0.8,0.69,-0.23
0,00:01:32.87,1.84,0.8,0.57,-0.11
0,00:01:32.89,1.61,0.92,0.92,-0.11
0,00:01:32.91,1.72,0.57,1.03,-0.46
0,00:01:32.93,1.95,0.92,0.92,-0.11
0,00:01:32.95,1.61,0.8,0.69,-0.34
0,00:01:32.97,1.49,0.92,1.03,0
0,00:01:33.00,1.84,0.23,0.92,0
0,00:01:33.02,1.61,0.69,0.92,-0.11
0,00:01:33.04,1.95,0.92,0.92,-0.11
0,00:01:33.06,1.95,0.57,1.26,0
0,00:01:33.08,1.61,0.46,0.69,-0.23
0,00:01:33.10,1.95,0.8,1.03,0
0,00:01:33.12,1.84,0.8,1.03,-0.23
0,00:01:33.14,1.95,0.8,0.8,0.11
0,00:01:33.17,1.84,0.69,1.03,-0.34
0,00:01:33.19,1.49,0.57,1.03,-0.23
0,00:01:33.21,1.84,0.69,0.8,-0.23
0,00:01:33.23,1.72,0.8,0.57,-0.34
0,00:01:33.25,1.84,0.92,1.03,-0.23
0,00:01:33.27,1.72,0.46,0.92,0
