day,time,snsr_11,snsr_12,snsr_21,snsr_22
0,00:03:24.11,2.87,4.14,2.64,1.84
0,00:03:24.14,2.99,4.25,2.41,1.95
0,00:03:24.16,2.76,4.48,2.41,1.84
0,00:03:24.18,2.87,4.37,2.76,1.72
0,00:03:24.20,2.99,4.02,2.18,1.84
0,00:03:24.22,2.76,4.02,2.3,1.95
0,00:03:24.24,2.99,4.25,2.18,1.84
0,00:03:24.26,2.76,4.14,2.41,1.95
0,00:03:24.28,2.41,3.91,2.3,1.72
0,00:03:24.30,2.87,4.37,2.41,2.07
0,00:03:24.33,2.99,4.14,2.18,1.95
0,00:03:24.35,2.87,4.02,2.18,1.84
0,00:03:24.37,2.3,4.02,2.53,1.72
0,00:03:24.39,2.87,4.14,2.3,1.95
0,00:03:24.41,2.64,4.14,2.3,1.72
0,00:03:24.43,2.76,4.02,2.3,2.07
0,00:03:24.45,2.76,3.91,2.18,1.95
0,00:03:24.47,2.64,4.02,2.53,1.95
0,00:03:24.49,2.87,4.48,2.3,1.84
0,00:03:24.51,3.1,4.02,2.3,1.95
0,00:03:24.53,2.99,4.14,2.41,1.84
0,00:03:24.56,2.99,4.02,2.76,1.61
0,00:03:24.58,2.76,4.37,2.41,1.72
0,00:03:24.60,2.76,4.37,2.41,1.95
0,00:03:24.62,2.76,4.14,2.53,1.72
0,00:03:24.64,3.1,3.91,2.3,2.18
0,00:03:24.66,2.76,4.48,2.3,2.07
0,00:03:24.68,2.99,4.25,2.3,2.07
0,00:03:24.70,2.99,3.91,2.3,1.72
0,00:03:24.73,3.22,4.25,2.18,1.95
0,00:03:24.75,3.1,4.48,2.41,1.72
0,00:03:24.77,2.76,4.25,2.53,1.95
0,00:03:24.79,2.99,4.02,2.76,1.84
0,00:03:24.81,2.99,4.25,2.41,1.84
0,00:03:24.83,2.87,4.37,2.53,1.95
0,00:03:24.85,2.76,4.14,2.3,1.84
0,00:03:24.87,2.99,4.37,2.18,2.07
0,00:03:24.89,2.64,4.14,2.53,1.84
0,00:03:24.91,2.99,4.25,2.3,1.95
0,00:03:24.93,2.76,3.91,2.18,1.84
0,00:03:24.96,3.33,4.14,2.41,1.49
0,00:03:24.98,2.87,3.91,2.3,1.61
0,00:03:25.00,2.87,4.02,2.18,1.61
0,00:03:25.02,2.76,3.79,2.3,1.84
0,00:03:25.04,2.87,4.02,2.3,1.84
0,00:03:25.06,2.87,4.48,2.18,1.84
0,00:03:25.08,2.87,3.91,2.76,2.07
0,00:03:25.10,2.87,4.25,2.41,1.84
0,00:03:25.12,3.22,4.14,2.18,1.84
0,00:03:25.15,2.87,3.79,2.64,1.61
0,00:03:25.17,2.99,4.02,2.18,1.72
0,00:03:25.19,2.99,4.25,2.41,1.72
0,00:03:25.21,2.87,4.25,2.3,2.18
0,00:03:25.23,2.99,4.25,2.53,1.95
0,00:03:25.25,2.76,4.25,2.3,1.84
0,00:03:25.27,2.76,4.02,2.3,1.61
0,00:03:25.29,2.87,4.25,2.41,1.84
0,00:03:25.31,2.87,4.25,2.3,1.95
0,00:03:25.33,2.87,4.14,2.07,1.95
0,00:03:25.36,3.1,4.25,2.3,1.84
0,00:03:25.38,2.87,4.48,2.41,1.95
0,00:03:25.40,2.76,3.79,2.3,2.07
0,00:03:25.42,2.87,4.25,2.07,2.07
0,00:03:25.44,2.64,4.14,2.41,1.84
0,00:03:25.46,2.87,4.14,2.18,1.84
0,00:03:25.48,2.87,4.25,2.53,1.84
0,00:03:25.50,2.87,4.37,2.07,1.95
0,00:03:25.52,2.87,4.25,2.64,1.26
0,00:03:25.55,2.87,4.25,2.07,1.84
0,00:03:25.57,2.99,4.25,2.64,1.84
0,00:03:25.59,2.76,4.37,2.07,2.07
0,00:03:25.61,3.1,4.25,2.3,1.84
0,00:03:25.63,3.33,4.25,2.41,1.84
0,00:03:25.65,2.87,4.14,2.3,1.72
0,00:03:25.67,2.87,4.02,2.64,1.49
0,00:03:25.69,2.76,3.79,2.41,1.84
0,00:03:25.71,2.64,4.37,2.3,2.07
0,00:03:25.74,2.76,3.91,2.3,1.72
0,00:03:25.76,2.87,3.91,2.41,1.72
0,00:03:25.78,2.99,4.14,2.41,0
0,00:03:25.80,3.1,4.48,2.64,1.72
0,00:03:25.82,2.99,4.14,2.3,1.84
0,00:03:25.84,2.99,4.02,2.53,1.84
0,00:03:25.86,2.99,4.25,2.18,2.18
0,00:03:25.88,2.99,4.14,2.3,1.84
0,00:03:25.90,2.64,4.02,2.3,1.84
0,00:03:25.92,2.76,4.14,2.3,2.3
0,00:03:25.95,2.76,4.02,2.41,1.72
0,00:03:25.97,2.76,4.25,2.18,1.84
0,00:03:25.99,2.76,4.02,2.41,1.95
0,00:03:26.01,2.87,4.14,2.18,1.61
0,00:03:26.03,2.87,4.02,2.07,1.84
0,00:03:26.05,2.87,4.37,2.18,1.95
0,00:03:26.07,2.64,4.14,2.64,1.61
0,00:03:26.09,2.99,3.91,2.53,1.84
0,00:03:26.11,2.87,4.37,2.41,1.84
0,00:03:26.14,2.99,4.25,2.07,2.07
0,00:03:26.16,2.53,3.79,2.07,1.95
0,00:03:26.18,2.64,4.14,2.18,1.95
0,00:03:26.20,2.87,4.37,2.3,1.72
0,00:03:26.22,2.99,4.02,2.07,1.84
0,00:03:26.24,3.1,4.37,2.76,0.11
0,00:03:26.26,2.76,4.14,2.18,1.72
0,00:03:26.28,2.53,4.02,2.64,2.07
0,00:03:26.30,2.99,3.79,2.3,1.84
0,00:03:26.32,2.64,4.37,2.18,1.84
0,00:03:26.34,3.1,4.14,2.41,1.95
0,00:03:26.37,2.76,4.14,2.41,1.84
0,00:03:26.39,2.99,4.14,2.76,1.95
0,00:03:26.41,2.87,4.02,2.53,1.95
0,00:03:26.43,2.87,4.14,2.41,1.72
0,00:03:26.45,3.1,3.91,2.18,1.61
0,00:03:26.47,2.87,4.48,2.64,1.72
0,00:03:26.49,2.99,4.14,2.53,1.95
0,00:03:26.51,2.99,4.02,2.18,1.72
0,00:03:26.53,2.87,3.68,2.07,1.49
0,00:03:26.56,2.99,4.14,2.18,1.84
0,00:03:26.58,2.76,4.14,2.41,1.61
0,00:03:26.60,2.87,3.91,2.3,2.07
0,00:03:26.62,2.64,4.37,2.53,1.95
0,00:03:26.64,2.87,4.25,2.41,1.95
0,00:03:26.66,2.99,4.02,2.18,1.49
0,00:03:26.68,2.99,4.14,2.64,1.84
0,00:03:26.70,2.99,4.02,2.07,1.49
0,00:03:26.72,2.87,4.02,2.41,1.84
0,00:03:26.75,2.64,4.25,2.41,1.72
0,00:03:26.77,3.1,4.37,2.3,0.11
0,00:03:26.79,2.99,4.02,2.07,1.61
0,00:03:26.81,2.76,4.02,2.18,1.72
0,00:03:26.83,2.53,4.14,2.64,1.95
0,00:03:26.85,2.99,3.79,2.18,1.72
0,00:03:26.87,2.87,4.02,2.53,1.95
0,00:03:26.89,3.1,3.91,2.3,1.84
0,00:03:26.91,2.64,4.02,2.18,1.95
0,00:03:26.93,3.22,4.25,1.95,1.72
0,00:03:26.96,2.99,4.25,2.41,1.84
0,00:03:26.98,2.87,4.25,2.18,1.84
0,00:03:27.00,3.22,4.25,2.41,1.95
0,00:03:27.02,2.99,4.25,2.3,1.84
0,00:03:27.04,2.99,4.14,2.3,1.61
0,00:03:27.06,3.1,4.02,2.07,2.07
0,00:03:27.08,2.76,4.02,2.41,1.95
0,00:03:27.10,2.99,4.14,2.53,1.72
0,00:03:27.12,3.1,4.14,2.18,2.18
0,00:03:27.15,2.87,4.14,2.18,1.95
0,00:03:27.17,2.76,3.91,2.53,1.95
0,00:03:27.19,2.87,4.14,2.3,1.95
0,00:03:27.21,2.76,4.02,2.53,1.95
0,00:03:27.23,2.99,4.37,2.18,1.95
0,00:03:27.25,2.87,4.25,2.18,1.72
0,00:03:27.27,2.87,4.37,2.41,1.72
0,00:03:27.29,2.87,4.14,2.07,1.61
0,00:03:27.31,2.87,4.37,2.3,2.07
0,00:03:27.33,2.76,4.25,2.41,1.84
0,00:03:27.36,2.64,4.25,2.41,1.84
0,00:03:27.38,2.76,4.25,2.41,1.95
0,00:03:27.40,2.87,3.79,2.53,1.95
0,00:03:27.42,2.87,4.02,2.41,1.95
0,00:03:27.44,2.53,4.25,2.53,1.72
0,00:03:27.46,2.76,3.79,2.41,1.84
0,00:03:27.48,2.87,4.14,2.18,1.95
0,00:03:27.50,2.53,3.91,2.41,1.84
0,00:03:27.52,2.87,4.14,2.3,1.84
0,00:03:27.55,3.22,4.14,2.41,1.84
0,00:03:27.57,2.87,4.02,2.41,2.18
0,00:03:27.59,2.87,4.02,2.53,1.84
0,00:03:27.61,2.76,3.79,2.53,2.07
0,00:03:27.63,2.99,3.68,2.18,1.95
